1
1, 18.5000, 20.0000, 0.41692
2, 18.5000, 22.0000, 0.31860
3, 18.5000, 24.0000, 0.26781
4, 18.5000, 26.0000, 0.42402
5, 18.5000, 28.0000, 0.43944
6, 18.5000, 30.0000, 0.27579
7, 18.5000, 32.0000, 0.49961
8, 18.5000, 34.0000, 0.44579

2
1, 21.5000, 20.0000, 0.46723
2, 21.5000, 22.0000, 0.32675
3, 21.5000, 24.0000, 0.24096
4, 21.5000, 26.0000, 0.38737
5, 21.5000, 30.0000, 0.26453
6, 21.5000, 32.0000, 0.27592
7, 21.5000, 34.0000, 0.47798

3
1, 24.5000, 20.0000, 0.45865
2, 24.5000, 22.0000, 0.32624
3, 24.5000, 24.0000, 0.38897
4, 24.5000, 26.0000, 0.40008
5, 24.5000, 28.0000, 0.34520
6, 24.5000, 30.0000, 0.22222
7, 24.5000, 32.0000, 0.21983
8, 24.5000, 34.0000, 0.47307

4
1, 27.5000, 20.0000, 0.27148
2, 27.5000, 22.0000, 0.20396
3, 27.5000, 24.0000, 0.22412
4, 27.5000, 26.0000, 0.44883
5, 27.5000, 28.0000, 0.34322
6, 27.5000, 30.0000, 0.49500
7, 27.5000, 32.0000, 0.31572
8, 27.5000, 34.0000, 0.42110

5
1, 30.5000, 20.0000, 0.31756
2, 30.5000, 22.0000, 0.45009
3, 30.5000, 24.0000, 0.47842
4, 30.5000, 26.0000, 0.42838
5, 30.5000, 28.0000, 0.35409
6, 30.5000, 30.0000, 0.39058
7, 30.5000, 32.0000, 0.46095
8, 30.5000, 34.0000, 0.37957

6
1, 33.5000, 20.0000, 0.24950
2, 33.5000, 22.0000, 0.26568
3, 33.5000, 24.0000, 0.31296
4, 33.5000, 26.0000, 0.38045
5, 33.5000, 28.0000, 0.29640
6, 33.5000, 30.0000, 0.45433
7, 33.5000, 32.0000, 0.30097
8, 33.5000, 34.0000, 0.38194

